%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1651857045122768686,2862,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045123254133,2863,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045123764220,2864,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045124831786,2865,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045126717987,2866,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045127422829,2867,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045128724350,2868,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045129842605,2869,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045130599479,2870,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045131291457,2871,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045132039755,2872,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045133552991,2873,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045135130548,2874,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045136273251,2875,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045136824491,2876,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045137487380,2877,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045137984410,2878,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045139175050,2879,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045141689068,2880,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045142885436,2881,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045143972043,2882,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045146531405,2883,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045148289796,2884,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045148980206,2885,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045150420193,2886,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045151838036,2887,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045155170113,2888,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045155996972,2889,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045156605140,2890,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045159374521,2892,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045160512680,2894,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045161624567,2895,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045165069413,2897,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045167213026,2898,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045168520404,2899,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045170076745,2900,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045170466062,2901,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045171449275,2902,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045173426806,2903,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045176752898,2904,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045178576507,2905,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045179144834,2906,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045180223889,2907,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045180598294,2908,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045181708421,2909,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045185091346,2910,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045187194318,2911,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045189452012,2913,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045191983278,2914,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045192943931,2915,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045195334907,2916,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045197097395,2917,0,,0.0534739159048,0.0,0.5,0.0,0.0
1651857045199577972,2918,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045200942215,2919,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045201843283,2920,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045204426357,2921,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045205720359,2922,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045208985426,2923,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045210045089,2924,0,,0.05579886958,0.0,0.5,0.0,0.0
1651857045210645161,2925,0,,0.05579886958,0.0,0.5,0.0,0.0
